id,subject,snippet,date,label_ids,sender_email,email_body,attachment_info,received_time,category
190f252e33abf75f,"Your full credit report is ready, Sunil.",Explore the ins and outs of your credit score. ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,1722001999000,"CATEGORY_PROMOTIONS,INBOX",Credit Karma <mail@mail16.creditkarma.com>,Explore the ins and outs of your credit score. ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,No,1722001999000,neutral
190f3472c969799a,Collier County FL Invoice# 16112648 Notification,You have a new invoice from Collier County FL! View Invoice or Pay Now Want to be reminded later? Click here. NO ACTION NEEDED Your account is currently enrolled in our AutoPay program. Your payment,1722068446000,CATEGORY_PERSONAL,Collier County FL <no-reply@invoicecloud.net>,You have a new invoice from Collier County FL! View Invoice or Pay Now Want to be reminded later? Click here. NO ACTION NEEDED Your account is currently enrolled in our AutoPay program. Your payment,No,1722068446000,important
190f5e70f179a952,Breaking news: Men's swimmers win first U.S. gold of the Paris Olympics,"View in browser | nytimes.com BREAKING NEWS From The Athletic: The United States won its first gold of the 2024 Games, in the men&#39;s 4×100-meter freestyle relay. Saturday, July 27, 2024 4:32 PM ET",1722112329000,"UNREAD,CATEGORY_SOCIAL,INBOX",The New York Times <nytdirect@nytimes.com>,"View in browser | nytimes.com BREAKING NEWS From The Athletic: The United States won its first gold of the 2024 Games, in the men&#39;s 4×100-meter freestyle relay. Saturday, July 27, 2024 4:32 PM ET",No,1722112329000,neutral
190f5ceb6fe185f3,Your mission: Secure the meatball 🍝,Stream My Spy The Eternal City on Prime Video ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,1722110881000,"CATEGORY_PROMOTIONS,UNREAD,INBOX",Grubhub <email@a.grubhub.com>,Stream My Spy The Eternal City on Prime Video ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏,No,1722110881000,neutral
190f5c9a3db5ee15,Breaking news: Ariarne Titmus wins gold in first Paris Olympics women's swimming final,"View in browser | nytimes.com BREAKING NEWS From The Athletic: Ariarne Titmus took gold in one of the first premier events of the 2024 Olympics, beating Summer McIntosh and her longtime rival, Katie",1722110373000,"UNREAD,CATEGORY_SOCIAL,INBOX",The New York Times <nytdirect@nytimes.com>,"View in browser | nytimes.com BREAKING NEWS From The Athletic: Ariarne Titmus took gold in one of the first premier events of the 2024 Olympics, beating Summer McIntosh and her longtime rival, Katie",No,1722110373000,neutral
190f5b95a96ddd2e,it's demo day. come see :).,"its a big day today. 6-wks ago -- 70000 ideas entered n&amp;w s5. people making robots, music, movies, ai apps, all types of stuff. 6-wks later -- 2000+ new ideas have been forged from nothing. these",1722109480000,"UNREAD,CATEGORY_UPDATES,INBOX",Farza <support@buildspace.so>,"its a big day today. 6-wks ago -- 70000 ideas entered n&amp;w s5. people making robots, music, movies, ai apps, all types of stuff. 6-wks later -- 2000+ new ideas have been forged from nothing. these",No,1722109480000,neutral
190f5b9490ba973e,it's demo day. come see :).,"its a big day today. 6-wks ago -- 70000 ideas entered n&amp;w s5. people making robots, music, movies, ai apps, all types of stuff. 6-wks later -- 2000+ new ideas have been forged from nothing. these",1722109472000,"UNREAD,CATEGORY_UPDATES,INBOX",Farza <support@buildspace.so>,"its a big day today. 6-wks ago -- 70000 ideas entered n&amp;w s5. people making robots, music, movies, ai apps, all types of stuff. 6-wks later -- 2000+ new ideas have been forged from nothing. these",No,1722109472000,neutral
190f5b9376235dea,it's demo day. come see :).,"its a big day today. 6-wks ago -- 70000 ideas entered n&amp;w s5. people making robots, music, movies, ai apps, all types of stuff. 6-wks later -- 2000+ new ideas have been forged from nothing. these",1722109472000,"UNREAD,CATEGORY_UPDATES,INBOX",Farza <support@buildspace.so>,"its a big day today. 6-wks ago -- 70000 ideas entered n&amp;w s5. people making robots, music, movies, ai apps, all types of stuff. 6-wks later -- 2000+ new ideas have been forged from nothing. these",No,1722109472000,neutral
190f5621457af6bd,Zego Payment Reminder,"Dear Tejus, As requested, this is your payment reminder. If you have already made a payment, please disregard this message. Please click on the link below to initiate your payment. Go to My Account To",1722103761000,"UNREAD,CATEGORY_UPDATES,INBOX","""Zego (A Global Payments Company)"" <noreply@gozego.com>","Dear Tejus, As requested, this is your payment reminder. If you have already made a payment, please disregard this message. Please click on the link below to initiate your payment. Go to My Account To",No,1722103761000,important
190f5428da3673ba,Giving Account Statement Notice,"View in your browser Your Giving Account ® statement is now available Dear Sunil Kayiti, , Your most recent Giving Account ® statement is available online for you to view, along with the Quarterly Pool",1722101696000,"UNREAD,CATEGORY_PERSONAL",Fidelity_Charitable <FCGFUND@mail.fidelity.com>,"View in your browser Your Giving Account ® statement is now available Dear Sunil Kayiti, , Your most recent Giving Account ® statement is available online for you to view, along with the Quarterly Pool",No,1722101696000,important
